2022/06/11 11:27:55 {"Type":"Error","Operation":"ModifyElectionBeginningFilters","Actor":"Consultant","Description":"redis: can't marshal read.ElectionBeginningFilters (implement encoding.BinaryMarshaler)"}
2022/06/12 12:24:12 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 12:24:12 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 12:24:12 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 12:24:12 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:02:26 {"Type":"Error","Operation":"AddVote","Actor":"Voter","Description":"redis: nil"}
2022/06/12 21:02:26 {"Type":"Error","Operation":"AddVote","Actor":"Voter","Description":"redis: nil"}
2022/06/12 21:02:26 {"Type":"Error","Operation":"AddVote","Actor":"Voter","Description":"redis: nil"}
2022/06/12 21:02:26 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:04:14 {"Type":"Error","Operation":"AddVote","Actor":"Voter","Description":"el circuito enviado no coincide con el circuito del votante"}
2022/06/12 21:11:56 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:12:01 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:16:26 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:17:22 {"Type":"Error","Operation":"AddVote","Actor":"Voter","Description":"mongo: no documents in result"}
2022/06/12 21:17:33 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:17:39 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:19:19 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:20:28 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:21:22 {"Type":"Error","Operation":"AddVote","Actor":"Voter","Description":"el circuito enviado no coincide con el circuito del votante"}
2022/06/12 21:22:23 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:26:24 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:26:36 {"Type":"Error","Operation":"AddVote","Actor":"Voter","Description":"mongo: no documents in result"}
2022/06/12 21:28:02 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:28:54 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:31:37 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:32:05 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/12 21:33:48 {"Type":"Error","Operation":"AddVote","Actor":"Voter","Description":"el circuito enviado no coincide con el circuito del votante"}
2022/06/12 21:35:51 {"Type":"Success","Operation":"AddVote","Actor":"Voter","Description":"Vote correctly issued"}
2022/06/15 11:25:56 {"Type":"Error","Operation":"GetVoteCoveragePerCircuit","Actor":"Consulting Agent","Description":"the Database field must be set on Operation"}
2022/06/15 11:27:02 {"Type":"Error","Operation":"GetVoteCoveragePerCircuit","Actor":"Consulting Agent","Description":"the Database field must be set on Operation"}
2022/06/15 11:29:51 {"Type":"Success","Operation":"GetVoteCoveragePerCircuit","Actor":"Consulting Agent","Description":"Operation completed"}
2022/06/15 11:29:57 {"Type":"Success","Operation":"GetVoteCoveragePerCircuit","Actor":"Consulting Agent","Description":"Operation completed"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Add Election Data","Actor":"Electoral Authority","Description":"redis: can't marshal []string (implement encoding.BinaryMarshaler)"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Add Vote","Actor":"Voter","Description":"No puede votar más de una vez en esta elección"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Mongo Connection","Actor":"Add Election Start Filters","Description":"filters not in db"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Add Election Data","Actor":"Electoral Authority","Description":"redis: can't marshal []string (implement encoding.BinaryMarshaler)"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Mongo Connection","Actor":"Add Election End Filters","Description":"filters not in db"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Add Vote","Actor":"Voter","Description":"No puede votar más de una vez en esta elección"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Add Election Data","Actor":"Electoral Authority","Description":"redis: can't marshal []string (implement encoding.BinaryMarshaler)"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Add Vote","Actor":"Voter","Description":"redis: connection pool timeout"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Close Election","Actor":"Electoral Authority","Description":"error getting candidates"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Mongo Connection","Actor":"Add Election Start Filters","Description":"filters not in db"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Add Vote","Actor":"Voter","Description":"redis: connection pool timeout"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Get Circuit Vote Coverage","Actor":"Consultant","Description":"error decoding key voters_age.0.age: cannot decode string into an integer type"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Mongo Connection","Actor":"Add Election End Filters","Description":"filters not in db"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Add Vote","Actor":"Voter","Description":"No puede votar más de una vez en esta elección"}
2022/06/22 20:04:51 {"Type":"Error","Operation":"Mongo Connection","Actor":"Add Election End Filters","Description":"filters not in db"}
